,"silent_fraction","nonsense_fraction","splice_site_fraction","missense_fraction","recurrent_missense_fraction","frameshift_indel_fraction","inframe_indel_fraction","lost_start_stop_fraction","missense_to_silent","nonsilent_to_silent","norm_missense_poisition_entropy","norm_mutation_entropy","label"
0,0,0.6,0,0,0,0.2,0,0.2,0,0,2,1.4277294,0
1,0,0.6666667,0,0,0,0,0,0,0,0,2,1.6666666,0
2,0.11111111,0.33333334,0,0,0,0,0,0.44444445,0.33333334,0.125,2,0.81528515,0
3,0,1,0,0,0,0,0,0,0,0,2,2,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0.16666667,0.33333334,0,0,0,0,0,0.5,0.5,0.2,2,0.86009306,0
6,0.46153846,0.46153846,0,0,0,0,0,0,1,0.85714287,1.871049,1.4199634,0
7,0,1,0,0,0,0,0,0,0,0,2,2,0
8,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0.2857143,0.42857143,0.14285715,0,0,0,0,0.14285715,0.6666667,0.4,2,1.4285715,0
10,0,0.6666667,0,0,0,0,0,0.33333334,0,0,1,1.2460468,0
11,0,1,0,0,0,0,0,0,0,0,2,2,0
12,0,0.4,0,0,0,0,0,0.2,0,0,2,0.99043626,0
13,0.5,0,0,0,0,0,0,0.5,0,1,0,0.5,0
14,0.29166666,0.5416667,0.041666668,0.041666668,0,0.041666668,0,0,0.53846157,0.4117647,1.693282,1.3712282,0
15,0.1,0.6,0.2,0,0,0,0,0.1,0.16666667,0.11111111,1.871049,1.379588,0
16,0,1,0,0,0,0,0,0,0,0,1.8333334,1.8333334,0
17,0,0.75,0,0,0,0,0,0.25,0,0,1.5793802,1.5,0
18,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
19,0.5,0.5,0,0,0,0,0,0,1,1,2,1.5,0
20,0.33333334,0.6666667,0,0,0,0,0,0,0.5,0.5,2,1.3333334,0
21,0.5,0.5,0,0,0,0,0,0,1,1,1.5793802,1.371049,0
22,0,0,0,0,0,0.33333334,0,0,0,0,0,0,0
23,0.5,0.25,0,0,0,0.25,0,0,2,1,0,0.75,0
24,0,0.77272725,0,0,0,0.13636364,0,0.045454547,0,0,1.7588769,1.4836104,0
25,0.8,0.2,0,0,0,0,0,0,4,4,0,0.8,0
